,name,total.pop,white,black,hispanic,asian
60,"alabama,sumter",13763,24,75.3,0.6,0.2
61,"alabama,talladega",82291,64.5,33,2,0.4
62,"alabama,tallapoosa",41616,69.3,27.6,2.5,0.5
63,"alabama,tuscaloosa",194656,65,30.7,3.1,1.2
64,"alabama,walker",67023,90.4,7.1,2,0.3
65,"alabama,washington",17581,65.2,26.1,0.9,0.1
66,"alabama,wilcox",11670,26.6,73,0.6,0
67,"alabama,winston",24484,94.9,1.9,2.6,0.2
68,"arizona,apache",71518,20.4,2.2,5.8,0.3
69,"arizona,cochise",131346,58.5,8.2,32.4,1.9
70,"arizona,coconino",134421,55.2,4.3,13.5,1.4
71,"arizona,gila",53597,65.9,2.4,17.9,0.5
72,"arizona,graham",37220,52.3,4.7,30.4,0.5
73,"arizona,greenlee",8437,48.1,4.8,47.9,0.5
74,"arizona,maricopa",3817117,58.7,8.4,29.6,3.5
75,"arizona,mohave",200186,79.6,3.7,14.8,1.1
76,"arizona,navajo",107449,43.9,3.3,10.8,0.5
77,"arizona,pima",980263,55.3,7.2,34.6,2.6
78,"arizona,pinal",375770,58.7,8.4,28.5,1.7
79,"arizona,santa cruz",47420,16,2.4,82.8,0.5
80,"arizona,yavapai",211033,82,3.1,13.6,0.8
81,"arizona,yuma",195751,35.3,5.8,59.7,1.2
82,"arkansas,arkansas",19019,71,25.8,2.7,0.5
83,"arkansas,ashley",21853,68.2,26.9,4.9,0.2
84,"arkansas,baxter",41513,96,1.6,1.7,0.4
85,"arkansas,benton",221339,76.6,3.9,15.5,2.9
86,"arkansas,boone",36903,95.2,1.9,1.8,0.4
87,"arkansas,bradley",11508,58,28.9,13.2,0.2
88,"arkansas,calhoun",5368,73.4,23.6,2.8,0.2
89,"arkansas,carroll",27446,84,2.6,12.7,0.6
90,"arkansas,chicot",11800,40.3,54.9,4.6,0.5
91,"arkansas,clark",22995,70.4,25,4,0.5
92,"arkansas,clay",16083,96.9,1.6,1.3,0.1
93,"arkansas,cleburne",25970,95.9,1.7,2,0.2
94,"arkansas,cleveland",8689,85.1,12.9,1.7,0.1
95,"arkansas,columbia",24552,59.2,37.9,2.2,0.7
96,"arkansas,conway",21273,82.4,13.2,3.6,0.4
97,"arkansas,craighead",96443,79.6,14.9,4.4,1.1
98,"arkansas,crawford",61948,86.8,4,6.1,1.4
99,"arkansas,crittenden",50902,45.2,52.3,2,0.6
100,"arkansas,cross",17870,74.7,23.3,1.5,0.5
101,"arkansas,dallas",8116,54.1,43.1,2.3,0.1
102,"arkansas,desha",13008,46.8,48.7,4.4,0.3
103,"arkansas,drew",18509,68,28.9,2.5,0.5
104,"arkansas,faulkner",113237,82.4,12.2,3.9,1.1
105,"arkansas,franklin",18125,93.8,2.4,2,0.9
106,"arkansas,fulton",12245,96.4,2,0.8,0.2
107,"arkansas,garland",96024,84,10.2,4.8,0.7
108,"arkansas,grant",17853,94.1,3.2,2.2,0.3
109,"arkansas,greene",42090,95.4,1.9,2.1,0.3
110,"arkansas,hempstead",22609,56.5,31.3,12,0.4
111,"arkansas,hot spring",32923,84.1,12.6,2.8,0.3
112,"arkansas,howard",13789,67.4,21.9,9.8,0.6
113,"arkansas,independence",36647,89.8,3.5,5.8,0.8
114,"arkansas,izard",13696,95,2.6,1.5,0.3
115,"arkansas,jackson",17997,78.8,18.2,2.4,0.3
116,"arkansas,jefferson",77435,41.4,56.3,1.6,0.8
117,"arkansas,johnson",25540,83.5,3.4,12.1,0.7
118,"arkansas,lafayette",7645,59.9,38,1.7,0.3
119,"arkansas,lawrence",17415,96.7,2,0.9,0.1
120,"arkansas,lee",10424,41.4,56.4,1.6,0.4
121,"arkansas,lincoln",14134,65.8,30.9,3.2,0.2
122,"arkansas,little river",13171,74.6,21.1,2.7,0.3
123,"arkansas,logan",22353,92.2,3.2,2.3,1.6
124,"arkansas,lonoke",68356,87.9,7.8,3.3,0.8
125,"arkansas,madison",15717,91.9,1.9,4.8,0.5
126,"arkansas,marion",16653,95.9,1.8,1.7,0.2
127,"arkansas,miller",43462,70.6,26.2,2.4,0.5
128,"arkansas,mississippi",46480,60.5,35.5,3.6,0.5
129,"arkansas,monroe",8149,55.8,42,1.6,0.4
130,"arkansas,montgomery",9487,92.8,2.2,3.8,0.5
131,"arkansas,nevada",8997,65.1,32.1,2.4,0.3
132,"arkansas,newton",8330,94.8,2.3,1.7,0.3
133,"arkansas,ouachita",26120,56.3,41.7,1.6,0.4
134,"arkansas,perry",10445,93.6,3.5,2.4,0.2
135,"arkansas,phillips",21757,34.6,64,1.3,0.3
136,"arkansas,pike",11291,88.2,4.6,6.4,0.5
137,"arkansas,poinsett",24583,89,8.6,2.2,0.2
138,"arkansas,polk",20662,89.8,2.6,5.8,0.5
139,"arkansas,pope",61754,86.9,5.1,6.7,1
140,"arkansas,prairie",8715,85.7,13.1,0.9,0.1
141,"arkansas,pulaski",382748,55.3,37,5.8,2
142,"arkansas,randolph",17969,95.9,2.1,1.6,0.2
149,"arkansas,st francis",28258,42.4,53.4,4.1,0.5
143,"arkansas,saline",107118,89,6.1,3.8,0.9
144,"arkansas,scott",11233,85.3,3,7,3.4
145,"arkansas,searcy",8195,95.2,2.4,1.5,0.1
146,"arkansas,sebastian",125744,72.8,10,12.3,4.1
147,"arkansas,sevier",17058,61.1,7.4,30.6,0.4
148,"arkansas,sharp",17264,95,2.2,1.7,0.3
150,"arkansas,stone",12394,96.1,1.7,1.3,0.4
151,"arkansas,union",41639,61.8,34.2,3.5,0.5
152,"arkansas,van buren",17295,94.1,2.4,2.7,0.3
153,"arkansas,washington",203065,74.1,5.8,15.5,2.2
154,"arkansas,white",77076,89.6,5.8,3.7,0.5
155,"arkansas,woodruff",7260,69.4,28.9,1.2,0.2
156,"arkansas,yell",22185,76.7,3.1,19.1,1.3
157,"california,alameda",1510271,34.1,18.6,22.5,26.1
158,"california,alpine",1175,72.5,2.4,7.1,0.6
159,"california,amador",38091,79.6,6.1,12.5,1.1
160,"california,butte",220000,75.2,6.3,14.1,4.1
161,"california,calaveras",45578,83.5,4.8,10.3,1.3
162,"california,colusa",21419,39.8,4.5,55.1,1.3
163,"california,contra costa",1049025,47.8,15.2,24.4,14.4
164,"california,del norte",28610,64.7,8,17.8,3.4
165,"california,el dorado",181058,79.9,4.6,12.1,3.5
166,"california,fresno",930450,32.7,9.9,50.3,9.6
167,"california,glenn",28122,55.9,4.4,37.5,2.6
168,"california,humboldt",134623,77.2,6.4,9.8,2.2
169,"california,imperial",174528,13.7,7.7,80.4,1.6
170,"california,inyo",18546,66.3,4,19.4,1.3
171,"california,kern",839631,38.6,10.3,49.2,4.2
172,"california,kings",152982,35.2,12.1,50.9,3.7
173,"california,lake",64665,74.1,6.6,17.1,1.1
174,"california,lassen",34895,66.7,11.6,17.5,1
175,"california,los angeles",9818605,27.8,13.2,47.7,13.7
176,"california,madera",150865,38,7.9,53.7,1.9
177,"california,marin",252409,72.8,7,15.5,5.5
178,"california,mariposa",18251,83.2,4.8,9.2,1.1
179,"california,mendocino",87841,68.6,5.2,22.2,1.7
180,"california,merced",255793,31.9,8.5,54.9,7.4
181,"california,modoc",9686,79,4.7,13.9,0.8
182,"california,mono",14202,68.2,3.2,26.5,1.4
183,"california,monterey",415057,32.9,8.2,55.4,6.1
184,"california,napa",136484,56.4,6,32.2,6.8
185,"california,nevada",98764,86.5,3.6,8.5,1.2
186,"california,orange",3010232,44.1,5.9,33.7,17.9
187,"california,placer",348432,76.1,5.7,12.8,5.9
188,"california,plumas",20007,85,4.6,8,0.7
189,"california,riverside",2189641,39.7,11.2,45.5,6
190,"california,sacramento",1418788,48.4,17,21.6,14.3
191,"california,san benito",55269,38.3,5.8,56.4,2.6
192,"california,san bernardino",2035210,33.3,14,49.2,6.3
193,"california,san diego",3095313,48.5,10.2,32,10.9
194,"california,san francisco",805235,41.9,10.7,15.1,33.3
195,"california,san joaquin",685306,35.9,13.9,38.9,14.4
196,"california,san luis obispo",269637,71.1,5.8,20.8,3.2
197,"california,san mateo",718451,42.3,8.2,25.4,24.8
198,"california,santa barbara",423895,47.9,6.6,42.9,4.9
199,"california,santa clara",1781642,35.2,7.5,26.9,32
200,"california,santa cruz",262382,59.6,5.7,32,4.2
201,"california,shasta",177223,82.4,5.3,8.4,2.5
202,"california,sierra",3240,88.1,2.6,8.3,0.4
203,"california,siskiyou",44900,79.5,6.6,10.3,1.2
204,"california,solano",413344,40.8,22.3,24,14.6
205,"california,sonoma",483878,66.1,6,24.9,3.8
206,"california,stanislaus",514453,46.7,8.3,41.9,5.1
207,"california,sutter",94737,50.4,7.6,28.8,14.4
208,"california,tehama",63463,71.9,4.9,21.9,1
209,"california,trinity",13786,83.5,5.6,7,0.7
210,"california,tulare",442179,32.6,5.8,60.6,3.4
211,"california,tuolumne",55365,81.9,5.7,10.7,1
212,"california,ventura",823318,48.7,6.3,40.3,6.7
213,"california,yolo",200849,49.9,8.4,30.3,13
214,"california,yuba",72155,58.8,10.3,25,6.7
215,"colorado,adams",441603,53.2,7,38,3.6
216,"colorado,alamosa",15445,49.6,5.5,46,1
217,"colorado,arapahoe",572003,63.2,14.4,18.4,5.1
218,"colorado,archuleta",12084,78.2,3.1,17.8,0.7
219,"colorado,baca",3788,87.7,2.2,9.2,0.2
220,"colorado,bent",6499,59,9.6,30.5,1
221,"colorado,boulder",294567,79.4,3.5,13.3,4.1
222,"colorado,chaffee",17809,86.6,3.1,9.4,0.6
223,"colorado,cheyenne",1836,88.1,1.4,9.7,0.6
224,"colorado,clear creek",9088,92.1,2.3,4.7,0.6
225,"colorado,conejos",8256,41.8,4.4,56,0.3
226,"colorado,costilla",3524,30.8,5,66,1
227,"colorado,crowley",5823,57.9,11.3,29,1
228,"colorado,custer",4255,92,2.7,4.7,0.4
229,"colorado,delta",30952,83,2.8,14,0.5
230,"colorado,denver",600158,52.2,14.3,31.8,3.4
231,"colorado,dolores",2064,90.9,2.6,4,0.1
232,"colorado,douglas",285465,85.2,3.8,7.5,3.8
233,"colorado,eagle",52197,67.3,2.8,30.1,1
235,"colorado,elbert",23086,91,2.6,5.3,0.7
234,"colorado,el paso",622263,72,11.3,15.1,2.7
236,"colorado,fremont",46824,80.4,5.8,12.3,0.6
237,"colorado,garfield",56389,68.8,3.3,28.3,0.7
238,"colorado,gilpin",5441,90.9,2.3,4.9,1.4
239,"colorado,grand",14843,89.7,2,7.5,0.8
240,"colorado,gunnison",15324,89.1,2.3,8.2,0.7
241,"colorado,hinsdale",843,93.2,2.1,2.8,0.4
242,"colorado,huerfano",6711,61.9,4.4,35.3,0.4
243,"colorado,jackson",1394,87.4,1.1,10.8,0.1
244,"colorado,jefferson",534543,79.9,3.8,14.3,2.6
245,"colorado,kiowa",1398,93.3,1.8,5.6,0
246,"colorado,kit carson",8270,76.4,4.1,19,0.4
248,"colorado,lake",7310,58.2,4,39.1,0.5
247,"colorado,la plata",51334,80.3,3.5,11.8,0.6
249,"colorado,larimer",299630,84.5,3.5,10.6,1.9
250,"colorado,las animas",15507,54.2,4.8,41.6,0.7
251,"colorado,lincoln",5467,79.5,7.2,12.5,0.8
252,"colorado,logan",22709,78.2,5.5,15.6,0.6
253,"colorado,mesa",146723,83.1,3.3,13.3,0.8
254,"colorado,mineral",712,95.2,1.7,2.9,0.1
255,"colorado,moffat",13795,82.7,2.5,14.4,0.6
256,"colorado,montezuma",25535,75.1,2.9,11,0.5
257,"colorado,montrose",41276,77.5,2.8,19.7,0.6
258,"colorado,morgan",28159,61.7,5.2,33.8,0.5
259,"colorado,otero",18831,56.5,4.6,40.3,0.8
260,"colorado,ouray",4436,93.4,1.5,4.4,0.6
261,"colorado,park",16206,91.6,2.8,4.8,0.6
262,"colorado,phillips",4442,79.4,1.8,18.7,0.6
263,"colorado,pitkin",17148,87.9,1.9,9.1,1.2
264,"colorado,prowers",12551,62.7,3.1,35.2,0.3
265,"colorado,pueblo",159063,54.1,5.7,41.4,0.8
266,"colorado,rio blanco",6666,86.3,3,10,0.3
267,"colorado,rio grande",11982,55.1,3.6,42.4,0.4
268,"colorado,routt",23509,90.6,2,6.8,0.6
269,"colorado,saguache",6108,56.4,3,40.1,0.8
270,"colorado,san juan",699,85.1,2.3,12,1.1
271,"colorado,san miguel",7359,88.5,2.2,8.6,0.7
272,"colorado,sedgwick",2379,85.6,2,12.1,0.7
273,"colorado,summit",27994,82.7,2.4,14.2,1
274,"colorado,teller",23350,90.6,2.9,5.5,0.7
275,"colorado,washington",4814,89.4,2.1,8.5,0.2
276,"colorado,weld",252825,67.6,3.9,28.4,1.2
277,"colorado,yuma",10043,77.9,1.3,20.8,0.2
278,"connecticut,fairfield",916829,66.2,13.5,16.9,4.6
279,"connecticut,hartford",894014,66.1,16,15.3,4.2
280,"connecticut,litchfield",189927,91.3,2.9,4.5,1.5
281,"connecticut,middlesex",165676,86.4,6.7,4.7,2.6
282,"connecticut,new haven",862477,67.5,15.4,15,3.5
283,"connecticut,new london",274055,78.3,9.5,8.5,4.2
284,"connecticut,tolland",152691,87.5,5.1,4.3,3.4
285,"connecticut,windham",118428,85.4,4.5,9.6,1.2
286,"delaware,kent",162310,65.2,27.5,5.8,2
287,"delaware,new castle",538479,61.6,26.3,8.7,4.3
288,"delaware,sussex",197145,75.6,15,8.6,1
289,"district of columbia,washington",NA,NA,NA,NA,NA
290,"florida,alachua",247336,63.7,23,8.4,5.4
291,"florida,baker",27115,82.4,15.1,1.9,0.5
292,"florida,bay",168852,79.2,13.9,4.8,2
293,"florida,bradford",28520,73.9,22,3.6,0.5
294,"florida,brevard",543376,77.6,12.7,8.1,2.1
295,"florida,broward",1748066,43.5,29.7,25.1,3.2
296,"florida,calhoun",14625,77.7,16.1,5.2,0.5
297,"florida,charlotte",159978,86,7.4,5.8,1.2
298,"florida,citrus",141236,89.6,4.4,4.7,1.4
299,"florida,clay",190865,77.2,12.8,7.7,2.9
300,"florida,collier",321520,65.7,8.5,25.9,1.1
301,"florida,columbia",67531,74.7,19.4,4.9,0.9
302,"florida,dade",2496435,15.4,21.3,65,1.5
303,"florida,de soto",NA,NA,NA,NA,NA
304,"florida,dixie",16422,86.6,9.9,3.1,0.3
305,"florida,duval",864263,56.6,32.4,7.6,4.2
306,"florida,escambia",297619,66.2,26.1,4.7,2.7
307,"florida,flagler",95696,76.1,13.7,8.6,2.1
308,"florida,franklin",11549,79.6,15.5,4.6,0.2
309,"florida,gadsden",46389,33.1,57.3,9.5,0.5
310,"florida,gilchrist",16939,87.9,6.8,5,0.4
311,"florida,glades",12884,61.7,14,21.1,0.4
312,"florida,gulf",15863,74.9,20.5,4.3,0.3
313,"florida,hamilton",14799,54.9,36.2,8.8,0.5
314,"florida,hardee",27731,48,9,42.9,1.1
315,"florida,hendry",39140,34.9,16.1,49.2,0.7
316,"florida,hernando",172778,82.1,7.1,10.3,1.1
317,"florida,highlands",98786,70.7,11.6,17.4,1.5
318,"florida,hillsborough",1229226,53.7,19.8,24.9,3.4
319,"florida,holmes",19927,88.9,7.7,2.2,0.4
320,"florida,indian river",138028,77.4,10.6,11.2,1.2
321,"florida,jackson",49746,66.6,28.4,4.3,0.5
322,"florida,jefferson",14761,58.7,37.5,3.7,0.4
323,"florida,lafayette",8870,70.6,17.3,12.1,0.1
324,"florida,lake",297052,74.5,12,12.1,1.7
325,"florida,lee",618754,71,10.3,18.3,1.4
326,"florida,leon",275487,59.3,32.5,5.6,2.9
327,"florida,levy",40801,80.8,11.3,7.5,0.6
328,"florida,liberty",8365,73.6,19.6,6.2,0.2
329,"florida,madison",19224,55,40.1,4.7,0.2
330,"florida,manatee",322833,73.4,10.8,14.9,1.6
331,"florida,marion",331298,74,14.4,10.9,1.3
332,"florida,martin",146318,80.3,7,12.2,1.1
333,"florida,monroe",73090,71.3,7.5,20.6,1.1
334,"florida,nassau",73314,87.9,7.9,3.2,0.9
335,"florida,okaloosa:main",NA,NA,NA,NA,NA
336,"florida,okaloosa:spit",NA,NA,NA,NA,NA
337,"florida,okeechobee",39996,65.7,9.9,23.9,0.9
338,"florida,orange",1145956,46,24.2,26.9,4.9
339,"florida,osceola",268685,40.3,15.4,45.5,2.8
340,"florida,palm beach",1320134,60.1,19.6,19,2.4
341,"florida,pasco",464697,80.1,6.7,11.7,2.1
342,"florida,pinellas",916542,76.9,12.5,8,3
343,"florida,polk",602095,64.6,17.2,17.7,1.6
344,"florida,putnam",74364,72.6,17.9,9,0.6
348,"florida,st johns",190039,85.3,7.4,5.2,2.1
349,"florida,st lucie",277789,61.2,21.7,16.6,1.6
345,"florida,santa rosa",151372,85,8.4,4.3,1.8
346,"florida,sarasota",379448,84.9,6.3,7.9,1.3
347,"florida,seminole",422718,66.3,14,17.1,3.7
350,"florida,sumter",93420,82.8,10.8,6,0.7
351,"florida,suwannee",41551,77.7,13.3,8.7,0.5
352,"florida,taylor",22570,73,22.4,3.4,0.7
353,"florida,union",15535,71.6,23.6,4.8,0.2
354,"florida,volusia",494593,75.4,12.6,11.2,1.5
355,"florida,wakulla",30776,79.5,16.3,3.3,0.6
356,"florida,walton",55043,85.1,8.1,5.3,0.9
357,"florida,washington",24896,78.5,17.1,2.9,0.5
358,"georgia,appling",18236,70.5,19.7,9.3,0.7
359,"georgia,atkinson",8375,57,18.9,24.3,0.3
360,"georgia,bacon",11096,76,16.6,7.1,0.3
361,"georgia,baker",3451,47.6,48,4.2,0.7
362,"georgia,baldwin",45720,54,42.7,2,1.3
363,"georgia,banks",18395,89.8,3.7,5.7,0.9
364,"georgia,barrow",69367,74.6,13.7,8.7,3.4
365,"georgia,bartow",100157,79.7,12.3,7.7,0.7
366,"georgia,ben hill",17634,57.6,35.9,5.8,0.7
367,"georgia,berrien",19286,83.2,12,4.6,0.4
368,"georgia,bibb",155547,42.1,53.6,2.8,1.6
369,"georgia,bleckley",13063,68.9,28.3,2.3,0.8
370,"georgia,brantley",18411,93.4,4.4,1.9,0.2
371,"georgia,brooks",16243,58,36.5,5.3,0.3
372,"georgia,bryan",30233,77.6,16.7,4.4,1.6
373,"georgia,bulloch",70217,65.9,29.3,3.5,1.5
374,"georgia,burke",23316,46.5,50.8,2.6,0.3
375,"georgia,butts",23655,68.5,28.7,2.5,0.5
376,"georgia,calhoun",6694,33.6,62.3,3.9,0.4
377,"georgia,camden",50513,71.2,22.4,5.1,1.4
378,"georgia,candler",10998,63.2,25.4,11.2,0.5
379,"georgia,carroll",110527,72.9,20.4,6.2,0.8
380,"georgia,catoosa",63942,92.5,3.8,2.3,1.2
381,"georgia,charlton",12171,66.7,30,2.5,0.6
382,"georgia,chatham",265128,50.4,42.3,5.4,2.4
383,"georgia,chattahoochee",11267,62.9,23.3,12.4,2.2
384,"georgia,chattooga",26015,83,12.7,4,0.4
385,"georgia,cherokee",214346,81.3,7.7,9.6,1.7
386,"georgia,clarke",116714,57.1,28.7,10.4,4.2
387,"georgia,clay",3183,37.3,61.6,0.8,0.3
388,"georgia,clayton",259424,14.1,68.6,13.7,5
389,"georgia,clinch",6798,66.7,29.1,3.5,0.2
390,"georgia,cobb",688078,56.3,27.7,12.3,4.5
391,"georgia,coffee",42356,61.2,28,10.3,0.7
392,"georgia,colquitt",45498,58.8,23.9,17.1,0.6
393,"georgia,columbia",124053,73.8,17.7,5,3.8
394,"georgia,cook",17212,64.9,28.7,5.9,0.7
395,"georgia,coweta",127317,72.7,19.4,6.7,1.5
396,"georgia,crawford",12630,73.5,23.6,2.4,0.3
397,"georgia,crisp",23439,52.1,44,3.2,0.8
398,"georgia,dade",16633,95,2.2,1.8,0.7
399,"georgia,dawson",22330,93.4,1.8,4.1,0.6
401,"georgia,decatur",27842,52.5,42.3,5,0.5
400,"georgia,de kalb",NA,NA,NA,NA,NA
402,"georgia,dodge",21796,65.5,30.8,3.4,0.5
403,"georgia,dooly",14918,43.3,50.8,5.8,0.6
404,"georgia,dougherty",94565,28.9,68.3,2.2,0.8
405,"georgia,douglas",132403,49,41.9,8.4,1.4
406,"georgia,early",11008,47.7,50.4,1.6,0.3
407,"georgia,echols",4034,63.3,7.1,29.3,0.3
408,"georgia,effingham",52250,81,15.4,2.9,0.8
409,"georgia,elbert",20166,64.2,30.5,4.8,0.6
410,"georgia,emanuel",22598,60.8,34.4,4.1,0.7
411,"georgia,evans",11000,56.6,30.2,13.1,0.7
412,"georgia,fannin",23682,96.1,1.5,1.8,0.3
413,"georgia,fayette",106567,67.8,22.3,6.3,3.9
414,"georgia,floyd",96317,73.7,16,9.3,1.3
415,"georgia,forsyth",175511,80.3,4.2,9.4,6.2
416,"georgia,franklin",22084,85.6,10.1,3.9,0.5
417,"georgia,fulton",920581,40.8,46.3,7.9,5.6
418,"georgia,gilmer",28292,88.6,1.8,9.5,0.3
419,"georgia,glascock",3082,89.2,9.3,1.1,0
420,"georgia,glynn",79626,64.8,27.8,6.4,1.2
421,"georgia,gordon",55186,79.9,5.6,14,1
422,"georgia,grady",25011,59.5,30.3,10,0.4
423,"georgia,greene",15994,54.8,39.3,5.6,0.3
424,"georgia,gwinnett",805321,44,26.8,20.1,10.6
425,"georgia,habersham",43041,80.4,5.1,12.4,2.2
426,"georgia,hall",179684,63.6,9.6,26.1,1.8
427,"georgia,hancock",9429,23.5,74.7,1.5,0.5
428,"georgia,haralson",28780,92.1,6.1,1.1,0.5
429,"georgia,harris",32024,77.6,18.7,2.7,0.9
430,"georgia,hart",25213,76.2,19.9,3.1,0.9
431,"georgia,heard",11834,86.1,11.5,1.9,0.5
432,"georgia,henry",203922,52.5,39.4,5.8,2.9
433,"georgia,houston",139900,60.5,31.3,6.1,2.4
434,"georgia,irwin",9538,70.4,26.8,2.4,0.6
435,"georgia,jackson",60485,83.8,8.5,6.2,1.7
436,"georgia,jasper",13900,72.6,23.5,3.7,0.2
437,"georgia,jeff davis",15068,73.4,16,10.5,0.5
438,"georgia,jefferson",16930,41.4,55.3,3.1,0.4
439,"georgia,jenkins",8340,54.1,41.7,4,0.4
440,"georgia,johnson",9980,62.3,35.8,1.9,0.2
441,"georgia,jones",28669,72.7,25.5,1.1,0.7
442,"georgia,lamar",18317,65.2,32.5,1.9,0.4
443,"georgia,lanier",10078,68.5,26.1,4.6,1
444,"georgia,laurens",48434,59.7,37,2.4,1
445,"georgia,lee",28298,75.8,20,2,2.2
446,"georgia,liberty",63453,42.7,46.9,9.7,2
447,"georgia,lincoln",7996,65,33.1,1.2,0.4
448,"georgia,long",14464,58.7,28.6,12.3,0.8
449,"georgia,lowndes",109233,56.1,38,4.8,1.5
450,"georgia,lumpkin",29966,91.8,2.9,4.5,0.5
454,"georgia,mcduffie",21875,56.3,41.2,2.2,0.3
455,"georgia,mcintosh",14333,60.8,37.2,1.6,0.3
451,"georgia,macon",14740,33.7,61.6,3.6,1.3
452,"georgia,madison",28120,85.7,9.6,4.1,0.6
453,"georgia,marion",8742,58.3,34.3,6.5,0.9
456,"georgia,meriwether",21992,57.3,40.3,1.6,0.6
457,"georgia,miller",6125,69.2,29.2,1.5,0.5
458,"georgia,mitchell",23498,46.4,48.7,4.4,0.5
459,"georgia,monroe",26424,72.3,24.8,2,0.8
460,"georgia,montgomery",9123,67.3,27.4,5.3,0.3
461,"georgia,morgan",17868,71.7,24.8,2.8,0.6
462,"georgia,murray",39628,85,2.2,13,0.3
463,"georgia,muscogee",189885,43.7,48.5,6.4,2.2
464,"georgia,newton",99958,52,43,4.6,0.9
465,"georgia,oconee",32808,86.3,6.4,4.4,3.1
466,"georgia,oglethorpe",14899,76.7,19.1,3.7,0.4
467,"georgia,paulding",142324,75,19.4,5.1,0.9
468,"georgia,peach",27695,45.1,47.4,6.8,0.8
469,"georgia,pickens",29431,94.5,2.2,2.8,0.4
470,"georgia,pierce",18758,84.6,10.3,4.7,0.3
471,"georgia,pike",17869,86.8,11.6,1.1,0.3
472,"georgia,polk",41475,73.5,14.3,11.8,0.7
473,"georgia,pulaski",12010,62.4,32.9,3.9,0.9
474,"georgia,putnam",21218,66.1,27.2,6.3,0.5
475,"georgia,quitman",2513,50.3,48.3,1.4,0.1
476,"georgia,rabun",16276,88.9,2.5,8,0.7
477,"georgia,randolph",7719,36,62.6,1.5,0.3
478,"georgia,richmond",200549,38,56.8,4.1,1.7
479,"georgia,rockdale",85215,40.9,48.6,9.5,1.8
480,"georgia,schley",5010,72.1,24.3,3.2,0.7
481,"georgia,screven",14593,54.1,44.4,1.2,0.4
